"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28470","28197.41","28197.09","28198.32","28199.44","","",
"American Samoa","ASM","Land area (sq. km)","AG.LND.TOTL.K2","","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","","",
"Antigua and Barbuda","ATG","Land area (sq. km)","AG.LND.TOTL.K2","","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","","",
"Australia","AUS","Land area (sq. km)","AG.LND.TOTL.K2","","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7692020","7692020","7692020","7692020","7692020","7692020","7692020","7692020","","",
"Austria","AUT","Land area (sq. km)","AG.LND.TOTL.K2","","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","82520","","",
"Azerbaijan","AZE","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83217","83217","83217","83217","83217","83217","83092","82705","82605","82604","82618","82652","82672","82660","82637","82629","82627","82622","82656","82658","82658","82659","82663","82663","82670","82662","82654","82654","82646","82650","82650","82650","","",
"Burundi","BDI","Land area (sq. km)","AG.LND.TOTL.K2","","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","","",
"Belgium","BEL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30333","30493","30494","30494","30494","30494","30494","","",
"Benin","BEN","Land area (sq. km)","AG.LND.TOTL.K2","","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","","",
"Burkina Faso","BFA","Land area (sq. km)","AG.LND.TOTL.K2","","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","","",
"Bangladesh","BGD","Land area (sq. km)","AG.LND.TOTL.K2","","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130260","129980","","",
"Bulgaria","BGR","Land area (sq. km)","AG.LND.TOTL.K2","","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","108800","108770","108760","108640","108630","108610","108610","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","108560","","",
"Bahrain","BHR","Land area (sq. km)","AG.LND.TOTL.K2","","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","710","710","710","710","710","710","710","710","710","710","710","720","730","740","740","750","760","760","762","767","770","770","771","778","779","780","778","780","785","790","790","800","","",
"Bahamas, The","BHS","Land area (sq. km)","AG.LND.TOTL.K2","","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","","",
"Bosnia and Herzegovina","BIH","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","51200","","",
"Belarus","BLR","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202928","202892","202878","202868","202854","202855","202829","202835","202848","202844","202829","202826","202815","202833","202904","202901","202902","202898","202902","202910","202899","202908","202973","202978","202988","202988","202980","202965","202980","202950","202990","202983","","",
"Belize","BLZ","Land area (sq. km)","AG.LND.TOTL.K2","","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","","",
"Bermuda","BMU","Land area (sq. km)","AG.LND.TOTL.K2","","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","54","","",
"Bolivia","BOL","Land area (sq. km)","AG.LND.TOTL.K2","","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","","",
"Brazil","BRA","Land area (sq. km)","AG.LND.TOTL.K2","","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","8358140","","",
"Barbados","BRB","Land area (sq. km)","AG.LND.TOTL.K2","","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","","",
"Brunei Darussalam","BRN","Land area (sq. km)","AG.LND.TOTL.K2","","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","","",
"Bhutan","BTN","Land area (sq. km)","AG.LND.TOTL.K2","","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","46723","39800","39800","39800","39800","39800","39800","39800","39800","39800","39800","38117","38117","38117","38117","38117","38117","38117","38117","38117","38117","38117","38117","38144","38144","38140","38140","38140","38140","38140","38140","","",
"Botswana","BWA","Land area (sq. km)","AG.LND.TOTL.K2","","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","","",
"Central African Republic","CAF","Land area (sq. km)","AG.LND.TOTL.K2","","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","","",
"Canada","CAN","Land area (sq. km)","AG.LND.TOTL.K2","","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8965590","8788700","8788700","8788700","","",
"Central Europe and the Baltics","CEB","Land area (sq. km)","AG.LND.TOTL.K2","","737300","737280","737290","737290","737280","737270","737260","737250","737250","737240","737230","737230","737230","737230","737230","737210","737220","737230","737180","737170","737160","737150","737140","737140","737140","737140","737140","737130","736140","736140","736250","979597","1104957","1105007","1104987","1105087","1105037","1105027","1105037","1104969","1104969","1103299","1103361","1103471","1103321","1103291","1103181","1103162.2","1104161.8","1104143.2","1104209","1104048.7","1105114","1105841","1105835.6","1105825","1105100.1","1105067.4","1104992.9","1105004.93","1104953.23","1104902.13","","","",
"Switzerland","CHE","Land area (sq. km)","AG.LND.TOTL.K2","","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528","39528.71","39528.71","39528.71","39528.71","39528.71","39528.79","39528.87","39528.95","39529.03","39529.11","39529.19","39529.27","39529.35","39529.43","39529.51","39529.59","39529.67","39528.454","39527.237","39526.019","39524.8","39523.581","39522.36","39521.139","39519.917","39518.694","39517.47","39516.245","39515.02","39514.422","39513.824","39513.225","39512.626","39512.028","39511.428","39510.829","39510.23","39509.63","39509.63","39509.63","39509.63","39509.63","39509.63","39509.63","39509.63","","",
"Channel Islands","CHI","Land area (sq. km)","AG.LND.TOTL.K2","","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","198","","","","",
"Chile","CHL","Land area (sq. km)","AG.LND.TOTL.K2","","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","741682.76","741682.76","742286.76","742286.76","742286.76","742831.64","742831.64","742831.64","742831.64","742831.64","","",
"China","CHN","Land area (sq. km)","AG.LND.TOTL.K2","","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388250","9388240","9388230","9388230","9388230","9388230","9388220","9388214.2","9388213.2","9388212.7","9388212.5","9388211.8","9388211.4","9388210.8","9388210.8","9388211","9388211","9388211","9388211","9388211","9388211","9388211","9388210","9388210","9388210","9388210","9388210","9388210","9388210","9388210","","",
"Cote d'Ivoire","CIV","Land area (sq. km)","AG.LND.TOTL.K2","","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","","",
"Cameroon","CMR","Land area (sq. km)","AG.LND.TOTL.K2","","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","","",
"Congo, Dem. Rep.","COD","Land area (sq. km)","AG.LND.TOTL.K2","","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","2267050","","",
"Congo, Rep.","COG","Land area (sq. km)","AG.LND.TOTL.K2","","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","","",
"Colombia","COL","Land area (sq. km)","AG.LND.TOTL.K2","","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","","",
"Comoros","COM","Land area (sq. km)","AG.LND.TOTL.K2","","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","","",
"Cabo Verde","CPV","Land area (sq. km)","AG.LND.TOTL.K2","","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","","",
"Costa Rica","CRI","Land area (sq. km)","AG.LND.TOTL.K2","","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","","",
"Caribbean small states","CSS","Land area (sq. km)","AG.LND.TOTL.K2","","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398477.61","398617.61","398617.61","398617.61","398617.61","398617.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","398527.61","","","",
"Cuba","CUB","Land area (sq. km)","AG.LND.TOTL.K2","","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","106390","106400","106410","106440","106430","106440","106440","106440","106440","106863","106649","104220","104020","104100","104040","103800","103800","103800","103800","103800","103800","103800","","",
"Curacao","CUW","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","444","444","444","444","444","444","444","444","444","444","444","444","444","","",
"Cayman Islands","CYM","Land area (sq. km)","AG.LND.TOTL.K2","","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","","",
"Cyprus","CYP","Land area (sq. km)","AG.LND.TOTL.K2","","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","","",
"Czechia","CZE","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77260","77260","77250","77250","77240","77240","77230","77230","77230","77220","77220","77210","77210","77210","77210","77205.5","77198.53","77186.83","77171.73","77167.31","","",
"Germany","DEU","Land area (sq. km)","AG.LND.TOTL.K2","","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349120","349110","349100","349090","349050","349020","348980","348950","348900","348860","348810","348770","348760","348720","348670","348630","348610","348570","348560","348540","348880","348900","348860","349360","349370","349380","349390","349390","349390","349360","349430","","",
"Djibouti","DJI","Land area (sq. km)","AG.LND.TOTL.K2","","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","","",
"Dominica","DMA","Land area (sq. km)","AG.LND.TOTL.K2","","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","","",
"Denmark","DNK","Land area (sq. km)","AG.LND.TOTL.K2","","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","","",
